customer_id,n_clusters_2,n_clusters_3,n_clusters_4,n_clusters_5
64f7d7dd7a59bba7168cc9c960a5c60e,1,1,3,3
fa7c64efd5c037ff2abcce571f9c1712,0,2,2,2
18923c9361f27583d2320951435e4888,1,1,1,1
aa21f31def4edbdcead818afcdfc4d32,1,1,1,1
5f1e0812c41be939d971e34236d4de5b,1,1,3,3
d99c815802828fff123971010c99b55b,1,1,3,3
7dae973c589d913f4ca4dacbd37feedf,1,1,3,3
10bc5715ecec307441b3b4f378e58592,1,1,3,3
040fb9742f9e14cf69c7a748bdf20137,1,2,1,1
1936d9aa913e7a12e24af56c096419ca,1,0,3,0
9f3e6357fdcd178344772cff6d720cee,1,2,1,1
0aef8bef58a11a9ed15a88e071e0b8e3,1,1,1,1
4167f9c83bfb97a15223bb729b79b5ac,1,0,3,0
d439bd758fd2f20aca559a60a53a3b69,0,2,2,2
80c9b38e5638695e5f65b51399442d44,1,0,3,0
2b6cb892f8e8897281dc719e625fd37b,1,1,3,3
a097c876345ce11d7e3df4e6a99ca07e,1,2,1,1
37f5af5042258835bb444eb120265259,1,1,1,1
afa13bb87aea37914c2570eab1695772,1,1,1,1
980f142f64c8b622f8274355d4356249,1,1,3,3
c065a3d911bc0492f42e66de35fd5896,1,1,3,3
e59717d9ec9c62b7966cef921323948a,1,2,1,1
2615678b8425cf1a9dd4989595be806a,1,1,1,1
cb980cadae3a621c2f6b9efa53bfef17,1,1,3,3
dbb68f4e15ec99e0657c7ebb0cd02249,1,0,3,0
fc048d57b9e901b940b1f5d165b66e14,1,1,3,3
184fb8d380cce808f75d7e8cbe19b108,1,1,3,3
2a6dfcbc444a9b55050fe1d77c5c8cd0,1,2,1,1
31ac0de2152e591608daed9114ec8c08,1,1,3,3
7ff8e4063a65e668de93d4aa6f688a8e,1,1,3,3
31b0695deee2d28cf3a9036c506abffe,1,2,1,1
32289eb09797c7507868f86621876e05,1,2,1,1
22f6a89a4d3a0604c5ef2cabc6895cbb,1,1,3,3
d6207b315c22c1c2649465e87c519cc3,1,1,3,3
24765a179970d76f89cfee9817eaeacb,0,0,0,4
3bab4d96725c813432c2ed4549cde8b5,0,0,0,4
c1247f69d37ffd757d28447dfd7bb7b5,0,2,2,2
35c1cec0fca55772fb0dfe69339776ca,1,1,3,3
d34b30764918cdd326ba0b065eb050a0,1,1,3,3
f6ea7fe639d98bf159c6a7118730078e,0,2,2,2
420879af21341f52b6fd68830ef2a835,0,2,2,2
048c683b41778df6a766c2289b2eb174,1,2,1,1
77838a9756e48f120e619f66d30eab83,1,1,3,3
18c78d4bbdcd95e6cdff6c5635bcb4c1,0,0,0,4
a3d5224086623c93ee9b1b3034c402b5,1,1,3,3
2a76d5102495a5603ae9f55bee27c37d,1,1,1,1
adeaa37d8c7d0b2a299a6a8cbf01b88a,1,1,3,3
311b5ab1fe45220f40482dd7b17c2103,1,1,3,3
02164f0d6ec4a0a2782605aff2446cd1,0,0,0,4
f62a0e5919ee8e4dbeb2cbe62f51d2d7,1,1,3,3
a36c460112414558066d66e5a655a622,0,2,2,2
230d08bd2c0346bd53682db29f8a5472,1,1,3,3
9e7e9213a25555a350a3884441893b3f,1,0,3,0
f269061efc9a7d62de5cd4e14a711980,1,1,1,1
588dcfa313810e6c16374640af578fb8,1,0,3,0
d71d37087fdd0d41164d0ea92ec6ab5b,0,0,0,4
0b447fbeae2438f942a7dd7b42b2375a,1,2,1,1
fa2cd64493eedd054700ce755f3ebee8,1,0,3,0
8ddfdd0f6f684f4cc6838ae7a9733fb9,1,2,1,1
29aec1e667b89b9a501350bc0930d97b,0,0,0,4
f6624f7a7e32f5ffe68f6d0d658539ba,0,0,0,4
07c0e1a2e9b0d5ab753423a7301b1865,0,2,2,2
c769f0a5369512fb8a67a35adf585aa1,0,2,2,2
4525cbf475f4e247523fb8d724826155,1,1,1,1
1873950079b036c6bcae641400d8e7fb,0,0,0,4
06aa309bdbecfcee5445dfa33d3ccbed,1,1,1,1
770d8217a73db8d1c7e279a7301e3680,1,2,1,1
821e6c5befb015db862290d2edddbe96,1,1,1,1
6466cb1bbce709a1852d27fa749605ac,1,0,3,0
42904ce446ae280066b445813abebc58,1,1,1,1
5dc61ca9e0c9f1237283042aabf87376,1,2,1,1
77f472b4dc1597dd16dceee7f7c75183,0,2,2,2
4d5e61dd1b47646b6bd1b528e05d050d,1,2,1,1
7fcf8bbda6e0c208e958687a0acb56c4,0,0,0,4
ba3bf794d7f28ca4029cc181d1de09ad,0,0,0,4
a1addea90a8341db2231abe4646dd46a,1,1,3,3
fcb176d947f637706a23f82d51477b45,1,2,1,1
e6329bceaab75684f6314d6596a11321,1,0,3,0
b49233acc484202caa451fbfec02cf1a,1,0,3,0
12faca5d2626c996b9fb3af9a037453c,1,2,1,1
9652516be044875b6a00bb3a98b6abd3,0,0,0,4
b54e001e1f710ae9fc906f37ae6a68be,1,1,3,3
31b551b95eba1fef2612fb4c9cbe7057,0,0,0,4
a1721af0434efbc20bf729a54ac38e34,1,1,1,1
97cf45b41f5f392e9ff41819a6e074ba,1,2,1,1
c6f292e1ee84038a10e3c0b24b981ba2,0,2,2,2
